scenario,n_agents,trial,seed,success,time_raw,cost_total,cost_per_agent,makespan,nodes,error_reason,img_path
混合长条 (1x1+1x2+2x1),8,8,91532,True,0.009100914001464844,67,8.375,12,2,,
混合长条 (1x1+1x2+2x1),8,9,4742,True,0.01624894142150879,93,11.625,24,3,,
混合长条 (1x1+1x2+2x1),8,10,9468,False,0.009026765823364258,-1,-1,-1,0,NoSolution,
混合长条 (1x1+1x2+2x1),8,11,41687,True,0.08866381645202637,111,13.875,23,15,,
混合长条 (1x1+1x2+2x1),8,12,18210,True,0.04604673385620117,139,17.375,30,8,,
混合长条 (1x1+1x2+2x1),8,13,77985,True,0.07384920120239258,90,11.25,18,2,,
混合长条 (1x1+1x2+2x1),8,14,89059,True,0.06966471672058105,101,12.625,23,2,,
混合长条 (1x1+1x2+2x1),8,15,62212,True,0.11417293548583984,140,17.5,26,18,,
混合长条 (1x1+1x2+2x1),8,16,7569,True,0.016399860382080078,110,13.75,20,2,,
混合长条 (1x1+1x2+2x1),8,17,19437,False,0.055440425872802734,-1,-1,-1,6,NoSolution,
混合长条 (1x1+1x2+2x1),8,18,89177,False,0.013063669204711914,-1,-1,-1,0,NoSolution,
混合长条 (1x1+1x2+2x1),8,19,86703,True,0.011190414428710938,109,13.625,20,0,,
混合长条 (1x1+1x2+2x1),8,20,18709,False,0.12755227088928223,-1,-1,-1,31,NoSolution,
混合长条 (1x1+1x2+2x1),9,1,19363,True,0.060434818267822266,122,13.555555555555555,23,18,,batch_analysis_v2_optimized\images\paths\混合长条_1x1+1x2+2x1_N9.png
混合长条 (1x1+1x2+2x1),9,2,55973,False,0.06214404106140137,-1,-1,-1,14,NoSolution,
混合长条 (1x1+1x2+2x1),9,3,10664,True,0.009748697280883789,98,10.88888888888889,25,0,,
混合长条 (1x1+1x2+2x1),9,4,460,True,0.06266260147094727,132,14.666666666666666,20,14,,
混合长条 (1x1+1x2+2x1),9,5,52190,True,0.010979652404785156,117,13.0,21,0,,
混合长条 (1x1+1x2+2x1),9,6,78773,True,0.05787229537963867,122,13.555555555555555,23,6,,
混合长条 (1x1+1x2+2x1),9,7,67652,True,0.025158405303955078,73,8.11111111111111,19,5,,
混合长条 (1x1+1x2+2x1),9,8,14114,False,0.019856929779052734,-1,-1,-1,0,NoSolution,
混合长条 (1x1+1x2+2x1),9,9,3056,True,0.01290750503540039,112,12.444444444444445,23,0,,
混合长条 (1x1+1x2+2x1),9,10,76449,True,0.083465576171875,120,13.333333333333334,20,24,,
混合长条 (1x1+1x2+2x1),9,11,7927,True,0.14919614791870117,147,16.333333333333332,23,28,,
混合长条 (1x1+1x2+2x1),9,12,61639,False,0.01486825942993164,-1,-1,-1,2,NoSolution,
混合长条 (1x1+1x2+2x1),9,13,9559,False,0.03320050239562988,-1,-1,-1,9,NoSolution,
混合长条 (1x1+1x2+2x1),9,14,96954,True,0.023204803466796875,90,10.0,21,5,,
混合长条 (1x1+1x2+2x1),9,15,94280,True,0.008933305740356445,67,7.444444444444445,13,2,,
混合长条 (1x1+1x2+2x1),9,16,25277,True,0.4676790237426758,120,13.333333333333334,26,138,,
混合长条 (1x1+1x2+2x1),9,17,47229,False,0.029582500457763672,-1,-1,-1,4,NoSolution,
混合长条 (1x1+1x2+2x1),9,18,16549,False,0.1855757236480713,-1,-1,-1,58,NoSolution,
混合长条 (1x1+1x2+2x1),9,19,98197,True,0.048268795013427734,156,17.333333333333332,30,9,,
混合长条 (1x1+1x2+2x1),9,20,24135,True,0.036829233169555664,166,18.444444444444443,28,8,,
混合长条 (1x1+1x2+2x1),10,1,36666,False,0.013282060623168945,-1,-1,-1,0,NoSolution,
混合长条 (1x1+1x2+2x1),10,2,4007,False,0.009521484375,-1,-1,-1,0,NoSolution,
